from;to;week;year;passengers
DE;AI;38;2016;0
DE;AI;39;2016;0
DE;AI;40;2016;0
DE;AI;41;2016;0
DE;AI;42;2016;0
DE;AI;43;2016;0
DE;AI;44;2016;0
DE;AI;45;2016;0
DE;AI;46;2016;0
DE;AI;47;2016;0
DE;AI;48;2016;0
DE;AI;49;2016;0
DE;AI;50;2016;0
DE;AI;51;2016;0
DE;AI;52;2016;0
DE;AL;1;2016;105
DE;AL;2;2016;105
DE;AL;3;2016;105
DE;AL;4;2016;105
DE;AL;5;2016;105
DE;AL;6;2016;105
DE;AL;7;2016;105
DE;AL;8;2016;105
DE;AL;9;2016;105
DE;AL;10;2016;105
DE;AL;11;2016;105
DE;AL;12;2016;105
DE;AL;13;2016;105
DE;AL;14;2016;105
DE;AL;15;2016;105
DE;AL;16;2016;105
DE;AL;17;2016;105
DE;AL;18;2016;105
DE;AL;19;2016;105
DE;AL;20;2016;105
DE;AL;21;2016;105
DE;AL;22;2016;105
DE;AL;23;2016;105
DE;AL;24;2016;105
DE;AL;25;2016;105
DE;AL;26;2016;105
DE;AL;27;2016;105
DE;AL;28;2016;105
DE;AL;29;2016;105
DE;AL;30;2016;105
DE;AL;31;2016;105
DE;AL;32;2016;105
DE;AL;33;2016;105
DE;AL;34;2016;105
DE;AL;35;2016;105
DE;AL;36;2016;105
DE;AL;37;2016;105
DE;AL;38;2016;105
DE;AL;39;2016;105
DE;AL;40;2016;105
DE;AL;41;2016;105
DE;AL;42;2016;105
DE;AL;43;2016;105
DE;AL;44;2016;105
DE;AL;45;2016;105
DE;AL;46;2016;105
DE;AL;47;2016;105
DE;AL;48;2016;105
DE;AL;49;2016;105
DE;AL;50;2016;105
DE;AL;51;2016;105
DE;AL;52;2016;105
DE;AM;1;2016;0
DE;AM;2;2016;0
DE;AM;3;2016;0
DE;AM;4;2016;0
DE;AM;5;2016;0
DE;AM;6;2016;0
DE;AM;7;2016;0
DE;AM;8;2016;0
DE;AM;9;2016;0
DE;AM;10;2016;0
DE;AM;11;2016;0
DE;AM;12;2016;0
DE;AM;13;2016;0
DE;AM;14;2016;0
DE;AM;15;2016;0
DE;AM;16;2016;0
DE;AM;17;2016;0
DE;AM;18;2016;0
DE;AM;19;2016;0
DE;AM;20;2016;0
DE;AM;21;2016;0
DE;AM;22;2016;0
DE;AM;23;2016;0
DE;AM;24;2016;0
DE;AM;25;2016;0
DE;AM;26;2016;0
DE;AM;27;2016;0
DE;AM;28;2016;0
DE;AM;29;2016;0
DE;AM;30;2016;0
DE;AM;31;2016;0
DE;AM;32;2016;0
DE;AM;33;2016;0
DE;AM;34;2016;0
DE;AM;35;2016;0
DE;AM;36;2016;0
DE;AM;37;2016;0
DE;AM;38;2016;0
DE;AM;39;2016;0
DE;AM;40;2016;0
DE;AM;41;2016;0
DE;AM;42;2016;0
DE;AM;43;2016;0
DE;AM;44;2016;0
DE;AM;45;2016;0
DE;AM;46;2016;0
DE;AM;47;2016;0
DE;AM;48;2016;0
DE;AM;49;2016;0
DE;AM;50;2016;0
DE;AM;51;2016;0
DE;AM;52;2016;0
DE;AO;1;2016;0
DE;AO;2;2016;0
DE;AO;3;2016;0
DE;AO;4;2016;0
DE;AO;5;2016;0
DE;AO;6;2016;0
DE;AO;7;2016;0
