from;to;week;year;passengers
WS;AI;38;2016;0
WS;AI;39;2016;0
WS;AI;40;2016;0
WS;AI;41;2016;0
WS;AI;42;2016;0
WS;AI;43;2016;0
WS;AI;44;2016;0
WS;AI;45;2016;0
WS;AI;46;2016;0
WS;AI;47;2016;0
WS;AI;48;2016;0
WS;AI;49;2016;0
WS;AI;50;2016;0
WS;AI;51;2016;0
WS;AI;52;2016;0
WS;AL;1;2016;0
WS;AL;2;2016;0
WS;AL;3;2016;0
WS;AL;4;2016;0
WS;AL;5;2016;0
WS;AL;6;2016;0
WS;AL;7;2016;0
WS;AL;8;2016;0
WS;AL;9;2016;0
WS;AL;10;2016;0
WS;AL;11;2016;0
WS;AL;12;2016;0
WS;AL;13;2016;0
WS;AL;14;2016;0
WS;AL;15;2016;0
WS;AL;16;2016;0
WS;AL;17;2016;0
WS;AL;18;2016;0
WS;AL;19;2016;0
WS;AL;20;2016;0
WS;AL;21;2016;0
WS;AL;22;2016;0
WS;AL;23;2016;0
WS;AL;24;2016;0
WS;AL;25;2016;0
WS;AL;26;2016;0
WS;AL;27;2016;0
WS;AL;28;2016;0
WS;AL;29;2016;0
WS;AL;30;2016;0
WS;AL;31;2016;0
WS;AL;32;2016;0
WS;AL;33;2016;0
WS;AL;34;2016;0
WS;AL;35;2016;0
WS;AL;36;2016;0
WS;AL;37;2016;0
WS;AL;38;2016;0
WS;AL;39;2016;0
WS;AL;40;2016;0
WS;AL;41;2016;0
WS;AL;42;2016;0
WS;AL;43;2016;0
WS;AL;44;2016;0
WS;AL;45;2016;0
WS;AL;46;2016;0
WS;AL;47;2016;0
WS;AL;48;2016;0
WS;AL;49;2016;0
WS;AL;50;2016;0
WS;AL;51;2016;0
WS;AL;52;2016;0
WS;AM;1;2016;0
WS;AM;2;2016;0
WS;AM;3;2016;0
WS;AM;4;2016;0
WS;AM;5;2016;0
WS;AM;6;2016;0
WS;AM;7;2016;0
WS;AM;8;2016;0
WS;AM;9;2016;0
WS;AM;10;2016;0
WS;AM;11;2016;0
WS;AM;12;2016;0
WS;AM;13;2016;0
WS;AM;14;2016;0
WS;AM;15;2016;0
WS;AM;16;2016;0
WS;AM;17;2016;0
WS;AM;18;2016;0
WS;AM;19;2016;0
WS;AM;20;2016;0
WS;AM;21;2016;0
WS;AM;22;2016;0
WS;AM;23;2016;0
WS;AM;24;2016;0
WS;AM;25;2016;0
WS;AM;26;2016;0
WS;AM;27;2016;0
WS;AM;28;2016;0
WS;AM;29;2016;0
WS;AM;30;2016;0
WS;AM;31;2016;0
WS;AM;32;2016;0
WS;AM;33;2016;0
WS;AM;34;2016;0
WS;AM;35;2016;0
WS;AM;36;2016;0
WS;AM;37;2016;0
WS;AM;38;2016;0
WS;AM;39;2016;0
WS;AM;40;2016;0
WS;AM;41;2016;0
WS;AM;42;2016;0
WS;AM;43;2016;0
WS;AM;44;2016;0
WS;AM;45;2016;0
WS;AM;46;2016;0
WS;AM;47;2016;0
WS;AM;48;2016;0
WS;AM;49;2016;0
WS;AM;50;2016;0
WS;AM;51;2016;0
WS;AM;52;2016;0
WS;AO;1;2016;0
WS;AO;2;2016;0
WS;AO;3;2016;0
WS;AO;4;2016;0
WS;AO;5;2016;0
WS;AO;6;2016;0
WS;AO;7;2016;0
WS;AO;8;2016;0
WS;AO;9;2016;0
WS;AO;10;2016;0
WS;AO;11;2016;0
WS;AO;12;2016;0
WS;AO;13;2016;0
WS;AO;14;2016;0
WS;AO;15;2016;0
WS;AO;16;2016;0
WS;AO;17;2016;0
WS;AO;18;2016;0
WS;AO;19;2016;0
WS;AO;20;2016;0
WS;AO;21;2016;0
WS;AO;22;2016;0
WS;AO;23;2016;0
WS;AO;24;2016;0
WS;AO;25;2016;0
WS;AO;26;2016;0
WS;AO;27;2016;0
WS;AO;28;2016;0
WS;AO;29;2016;0
WS;AO;30;2016;0
WS;AO;31;2016;0
WS;AO;32;2016;0
WS;AO;33;2016;0
WS;AO;34;2016;0
WS;AO;35;2016;0
WS;AO;36;2016;0
WS;AO;37;2016;0
WS;AO;38;2016;0
WS;AO;39;2016;0
WS;AO;40;2016;0
WS;AO;41;2016;0
WS;AO;42;2016;0
WS;AO;43;2016;0
WS;AO;44;2016;0
WS;AO;45;2016;0
WS;AO;46;2016;0
WS;AO;47;2016;0
WS;AO;48;2016;0
WS;AO;49;2016;0
WS;AO;50;2016;0
WS;AO;51;2016;0
WS;AO;52;2016;0
WS;AQ;1;2016;0
WS;AQ;2;2016;0
WS;AQ;3;2016;0
WS;AQ;4;2016;0
WS;AQ;5;2016;0
WS;AQ;6;2016;0
WS;AQ;7;2016;0
WS;AQ;8;2016;0
WS;AQ;9;2016;0
WS;AQ;10;2016;0
WS;AQ;11;2016;0
WS;AQ;12;2016;0
WS;AQ;13;2016;0
WS;AQ;14;2016;0
WS;AQ;15;2016;0
WS;AQ;16;2016;0
WS;AQ;17;2016;0
WS;AQ;18;2016;0
WS;AQ;19;2016;0
WS;AQ;20;2016;0
WS;AQ;21;2016;0
WS;AQ;22;2016;0
WS;AQ;23;2016;0
WS;AQ;24;2016;0
WS;AQ;25;2016;0
WS;AQ;26;2016;0
WS;AQ;27;2016;0
WS;AQ;28;2016;0
WS;AQ;29;2016;0
WS;AQ;30;2016;0
WS;AQ;31;2016;0
WS;AQ;32;2016;0
WS;AQ;33;2016;0
WS;AQ;34;2016;0
WS;AQ;35;2016;0
WS;AQ;36;2016;0
WS;AQ;37;2016;0
WS;AQ;38;2016;0
WS;AQ;39;2016;0
WS;AQ;40;2016;0
WS;AQ;41;2016;0
WS;AQ;42;2016;0
WS;AQ;43;2016;0
WS;AQ;44;2016;0
WS;AQ;45;2016;0
WS;AQ;46;2016;0
WS;AQ;47;2016;0
WS;AQ;48;2016;0
WS;AQ;49;2016;0
