"country_num" "week" "infected_number" "infected_percentage" "code"
"132" 11 2 5.9940059999962 0.0000632177685415262 "BLR"
"133" 12 2 7.99200799999437 0.0000702783907882144 "BEL"
"134" 13 2 3.99600399997959 0.000509627434148268 "BTN"
"135" 14 2 0 0 "BIH"
"136" 15 2 14.9822269380311 0.00000714862686631105 "BRA"
"137" 16 2 2.99700299999873 0.0000422244172697938 "BGR"
"138" 17 2 0 0 "BFA"
"139" 18 2 3.99600399999899 0.0000252476347583195 "KHM"
"140" 19 2 2.99700299999962 0.0000125269687980129 "CMR"
"141" 20 2 312.865843507902 0.000862877096967587 "CAN"
"142" 21 2 0 0 "CAF"
"143" 22 2 2.9970029999995 0.0000165289421653031 "CHL"
"144" 23 2 2868.99801610137 0.00020754456874046 "CHN"
"145" 24 2 7.99200799999868 0.0000164260772182677 "COL"
"146" 25 2 43.9560439996014 0.000904963376146622 "CRI"
"147" 26 2 6.9930069999884 0.000165514919404478 "HRV"
"148" 27 2 5.99400599999684 0.0000526118177750774 "CUB"
"149" 28 2 3.99600399999848 0.0000378837886556794 "CZE"
"150" 29 2 29.9700299998418 0.000526644642619019 "DNK"
"151" 30 2 0 0 "DOM"
"152" 31 2 3.99600399999902 0.0000243875145327045 "ECU"
"153" 32 2 223.776223999463 0.000239631248210165 "EGY"
"154" 33 2 0.999000999999837 0.0000162533826606978 "SLV"
"155" 34 2 7.99200799995111 0.000610494506162315 "EST"
"156" 35 2 699.300699995189 0.000686576595652472 "ETH"
"157" 36 2 0 0 "FJI"
"158" 37 2 10.8528926978434 0.0001981057142161 "FIN"
"159" 38 2 58.7948735126443 0.0000909798946652557 "FRA"
"160" 39 2 0 0 "GUF"
"161" 40 2 6.99300699998769 0.000175713362116852 "GEO"
"162" 41 2 10.9657636440455 0.0000135954902417964 "DEU"
"163" 42 2 0 0 "GHA"
"164" 43 2 49.9500499997711 0.000457440702875216 "GRC"
"165" 44 2 1.9980019999915 0.000424612631680045 "GLP"
"166" 45 2 1.99800199999976 0.000011983489910246 "GTM"
"167" 46 2 9.99000999998779 0.000121985576410428 "HND"
"168" 47 2 0 0 "HUN"
"169" 48 2 3.99600399995178 0.00120442102850453 "ISL"
"170" 49 2 2.99689202319036 0.000000225871037124848 "IND"
"171" 50 2 30.9646590791215 0.0000118834622212734 "IDN"
"172" 51 2 15.9840159999932 0.0000425699096343598 "IRQ"
"173" 52 2 103.896103997706 0.0022039935994327 "IRL"
"174" 53 2 168.831168996514 0.00206081088186195 "ISR"
"175" 54 2 13.9545257188123 0.0000233292008379811 "ITA"
"176" 55 2 0.999000999999643 0.0000356358187062407 "JAM"
"177" 56 2 206.71130751693 0.000163638088855158 "JPN"
"178" 57 2 38.9610389998037 0.000502865832879058 "JOR"
"179" 58 2 57.8871451669452 0.000324253335660626 "KAZ"
"180" 59 2 0.999000999999979 0.00000211422299451595 "KEN"
"181" 60 2 15.9840159999576 0.000264909312901398 "KGZ"
"182" 61 2 16.9830169998522 0.000868366942053309 "LVA"
"183" 62 2 4.99500499999583 0.0000834147858278809 "LBN"
"184" 63 2 3.99600399999439 0.000140209190780251 "LTU"
"185" 64 2 3.99600399997223 0.000693458141786058 "LUX"
"186" 65 2 3.99600399999936 0.000016038017930933 "MDG"
"187" 66 2 3.99600399999948 0.000012994457979781 "MYS"
"188" 67 2 0 0 "MDV"
"189" 68 2 0.999000999999945 0.00000550874049860363 "MLI"
"190" 69 2 23.9760239986273 0.00571381480610257 "MLT"
"191" 70 2 4.99500499993693 0.00126020652731755 "MTQ"
"192" 71 2 0 0 "MRT"
"193" 72 2 11.9880119998873 0.000938426360445797 "MUS"
"194" 73 2 96.8665162460329 0.0000753111688793332 "MEX"
"195" 74 2 33.8995368384222 0.00112866627906679 "MNG"
"196" 75 2 0 0 "MNE"
"197" 76 2 6.99300699999859 0.0000200849985488398 "MAR"
"198" 77 2 0 0 "MOZ"
"199" 78 2 0 0 "MMR"
"200" 79 2 46.9530469999234 0.000162744818438736 "NPL"
"201" 80 2 56.9430569998087 0.000335359044892935 "NLD"
"202" 81 2 0.999000999996247 0.000374956743020237 "NCL"
"203" 82 2 0 0 "NZL"
"204" 83 2 4.99500499999593 0.0000812191312731706 "NIC"
"205" 84 2 1.99771815162408 0.00000964506023641494 "NER"
"206" 85 2 2.99700299999995 0.00000160278199892896 "NGA"
"207" 86 2 352.263436135134 0.00664385623064578 "NOR"
"208" 87 2 124.875124996643 0.00268290692963052 "OMN"
"209" 88 2 35.9640359999933 0.0000186509819070375 "PAK"
"210" 89 2 8.9910089999797 0.000225315644573001 "PAN"
"211" 90 2 0.999000999999851 0.0000148540836794056 "PRY"
"212" 91 2 0.999000999999969 0.00000314406094877206 "PER"
"213" 92 2 0.0000000198718982245518 0.0000000000000194371089513068 "PHL"
"214" 93 2 0.999000999999974 0.0000025885441205502 "POL"
"215" 94 2 88.2254798136974 0.000857964201461613 "PRT"
"216" 95 2 139.860139991446 0.00610378341634544 "QAT"
"217" 96 2 2.99700299999954 0.00001547021189678 "ROU"
"218" 97 2 209.790209999693 0.000146256592101762 "RUS"
"219" 98 2 0.000000278336782708458 0.00000000000234612991735817 "RWA"
"220" 99 2 0 0 "SEN"
"221" 100 2 2.99700299999898 0.0000340077535784867 "SRB"
"222" 101 2 26.973026999872 0.000473501247955712 "SGP"
"223" 102 2 0 0 "SVK"
"224" 103 2 97.902097995359 0.00473102811375482 "SVN"
"225" 104 2 0 0 "ZAF"
"226" 105 2 82.9170829998505 0.000180001727573411 "ESP"
"227" 106 2 16.8767453939834 0.0000809930501183717 "LKA"
"228" 107 2 0 0 "SUR"
"229" 108 2 279.720279992042 0.0028392659572235 "SWE"
"230" 109 2 83.0392922467502 0.000993773570720268 "CHE"
"231" 110 2 0.999000999999985 0.00000146595848958528 "THA"
"232" 111 2 0 0 "TGO"
"233" 112 2 0 0 "TUN"
"234" 113 2 751.248751992898 0.000943518332887307 "TUR"
"235" 114 2 0.000000537058065295385 0.00000000000995417432926192 "TKM"
"236" 115 2 0.999000999999975 0.00000247751096849297 "UGA"
"237" 116 2 94.9050949997978 0.000212675469971976 "UKR"
"238" 117 2 953.046953997192 0.00029404249066167 "USA"
"239" 118 2 0.958241098572238 0.0000263442959587416 "URY"
"240" 119 2 2.9970029999997 0.00000989095342028861 "UZB"
"241" 120 2 0.999000999999989 0.00000105776850245964 "VNM"
"242" 121 2 0 0 "ZMB"
"243" 1 3 12.9740389740029 0.0000388794137179515 "AFG"
"244" 2 3 0 0 "ALB"
"245" 3 3 0.0000000391430881213587 0.0000000000000970242480541249 "DZA"
"246" 4 3 9.96864484686738 0.0000227440734835823 "ARG"
"247" 5 3 0 0 "ARM"
"248" 6 3 26.8401623425973 0.000110424305471102 "AUS"
"249" 7 3 43.9121319115929 0.000512415548152329 "AUT"
"250" 8 3 7.9840239839165 0.000571582060790297 "BHR"
"251" 9 3 4.99001499000469 0.00000306303389932589 "BGD"
"252" 10 3 0 0 "BRB"
"253" 11 3 5.98801798799842 0.0000631546139907133 "BLR"
"254" 12 3 7.98402398399676 0.0000702081826757676 "BEL"
"255" 13 3 3.99201199196325 0.000509118316338957 "BTN"
"256" 14 3 0 0 "BIH"
"257" 15 3 14.9644751143393 0.0000071396810167469 "BRA"
"258" 16 3 2.99400899400047 0.0000421822350769234 "BGR"
"259" 17 3 0 0 "BFA"
"260" 18 3 3.99201199200198 0.0000252224123711895 "KHM"
"261" 19 3 2.99400899400225 0.0000125144543561822 "CMR"
"262" 20 3 311.735153238715 0.00086042146358138 "CAN"
"263" 21 3 0 0 "CAF"
"264" 22 3 2.99400899400201 0.0000165124297520772 "CHL"
"265" 23 3 2865.99917268089 0.000207323221729901 "CHN"
"266" 24 3 7.98402398400537 0.000016409667567124 "COL"
"267" 25 3 43.912131911248 0.000904059317725662 "CRI"
"268" 26 3 6.98602098598384 0.000165349569999719 "HRV"
"269" 27 3 5.98801798799969 0.0000525592585690924 "CUB"
"270" 28 3 3.99201199200097 0.000037845942750798 "CZE"
"271" 29 3 29.9400899397142 0.00052611852461827 "DNK"
"272" 30 3 0 0 "DOM"
"273" 31 3 3.99201199200205 0.0000243631514056803 "ECU"
"274" 32 3 223.552671551151 0.000239391856592628 "EGY"
"275" 33 3 0.998002998000675 0.0000162371455314172 "SLV"
"276" 34 3 7.98402398391037 0.000609884622146932 "EST"
"277" 35 3 698.602098591093 0.000685890705628702 "ETH"
"278" 36 3 0 0 "FJI"
"279" 37 3 10.7066355526896 0.00019707529266299 "FIN"
